"id","invoiceNumber","companyId","customerId","currency","exchangeRate","subtotal","taxAmount","discountAmount","total","status","createdById","verifiedById","approvedById","rejectedById","rejectionReason","invoiceDate","dueDate","verifiedAt","approvedAt","createdAt","updatedAt","type","vendorId","paymentSplits"
"005c77f8-934b-4221-b863-3bac4e29a2db","INV-2026-0008","235280c2-f037-4249-8696-bc38738a190e","2bbf7a48-49b9-4441-a502-c5ef932a6067","USD","117","1.1","0","0","128.7","PAID","f5792746-5425-4b3e-bcef-2df5ff24e4c7","3de00e61-540e-46b8-afac-9c389a516e8f","3de00e61-540e-46b8-afac-9c389a516e8f",,,"2026-04-02 00:00:00",,"2026-04-06 06:17:37.529","2026-04-06 06:19:33.277","2026-04-02 08:42:41.478","2026-04-06 06:54:27.009","SALES",,
"188bcad2-1d59-44b3-80b5-1343b480f670","INV-2026-0002","235280c2-f037-4249-8696-bc38738a190e","d17294d9-b680-46a2-9fda-d974351f43cd","USD","110","10200","0","0","1122000","PAID","f5792746-5425-4b3e-bcef-2df5ff24e4c7","f5792746-5425-4b3e-bcef-2df5ff24e4c7","f5792746-5425-4b3e-bcef-2df5ff24e4c7",,,"2026-04-01 00:00:00",,"2026-04-06 06:53:51.694","2026-04-06 06:53:53.018","2026-04-01 16:45:15.513","2026-04-06 06:54:19.472","SALES",,
"4da4831c-72c5-4c6a-8d13-e7be29068909","INV-2026-0006","235280c2-f037-4249-8696-bc38738a190e",,"USD","110","102","0","0","11220","APPROVED","f5792746-5425-4b3e-bcef-2df5ff24e4c7","f5792746-5425-4b3e-bcef-2df5ff24e4c7","f5792746-5425-4b3e-bcef-2df5ff24e4c7",,,"2026-04-01 00:00:00",,"2026-04-06 06:22:55.204","2026-04-06 06:22:56.956","2026-04-01 19:15:54.68","2026-04-06 06:22:56.957","PURCHASE","0a748624-648a-4b4f-b376-6e67ca7276cb",
"5646ac86-4c0b-4080-8b69-b92a73a3b288","INV-2026-0004","235280c2-f037-4249-8696-bc38738a190e",,"USD","123","714","0","0","87822","DRAFT","f5792746-5425-4b3e-bcef-2df5ff24e4c7",,,,,"2026-04-01 00:00:00",,,,"2026-04-01 17:25:00.256","2026-04-01 17:25:00.256","PURCHASE","0a748624-648a-4b4f-b376-6e67ca7276cb",
"9c556f6a-d0e3-4218-a5c6-070162b86b28","INV-2026-0007","235280c2-f037-4249-8696-bc38738a190e",,"USD","123","9.85","0","0","1211.55","PAID","f5792746-5425-4b3e-bcef-2df5ff24e4c7","f5792746-5425-4b3e-bcef-2df5ff24e4c7","f5792746-5425-4b3e-bcef-2df5ff24e4c7",,,"2026-04-02 00:00:00",,"2026-04-06 06:21:29.478","2026-04-06 06:22:41.766","2026-04-02 07:41:55.943","2026-04-06 06:54:29.622","PURCHASE","aa05a709-e3bb-4e76-9ef0-9fd362e434e9",
"a3c021da-d3cc-40cc-bdf1-735308914970","INV-2026-0001","235280c2-f037-4249-8696-bc38738a190e","d17294d9-b680-46a2-9fda-d974351f43cd","BDT","1","102","0","0","102","PAID","f5792746-5425-4b3e-bcef-2df5ff24e4c7","f5792746-5425-4b3e-bcef-2df5ff24e4c7","f5792746-5425-4b3e-bcef-2df5ff24e4c7",,,"2026-03-31 00:00:00",,"2026-04-06 06:57:16.85","2026-04-06 06:57:18.751","2026-03-31 20:35:30.945","2026-04-06 06:57:38.317","SALES",,
"ccd244a2-354f-454b-aac6-43b2d13c0b51","INV-2026-0005","235280c2-f037-4249-8696-bc38738a190e",,"USD","123","714","0","0","87822","PENDING_VERIFICATION","f5792746-5425-4b3e-bcef-2df5ff24e4c7",,,,,"2026-04-01 00:00:00",,,,"2026-04-01 17:26:22.096","2026-04-02 06:55:30.982","PURCHASE","0a748624-648a-4b4f-b376-6e67ca7276cb",
"cd6980a5-f6c7-40a7-a8ef-740bff8dc3e2","INV-2026-0003","235280c2-f037-4249-8696-bc38738a190e",,"USD","123","714","0","0","87822","DRAFT","f5792746-5425-4b3e-bcef-2df5ff24e4c7",,,,,"2026-04-01 00:00:00",,,,"2026-04-01 17:24:37.641","2026-04-01 17:24:37.641","PURCHASE","0a748624-648a-4b4f-b376-6e67ca7276cb",
